,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,name
62,1,1628971,2019-20,0,1610612765,DET,23.0,18,14,490.0,55,127,0.433,10,29,0.345,18,33,0.545,15,57,72,65,19,10,36,52,138,Bruce Brown
63,3,1627759,2019-20,0,1610612738,BOS,23.0,15,15,500.0,106,219,0.484,25,70,0.35700000000000004,43,59,0.7290000000000001,17,92,109,31,19,4,25,46,280,Jaylen Brown
64,0,1629650,2019-20,0,1610612757,POR,20.0,4,0,15.0,3,7,0.429,0,0,0.0,2,4,0.5,2,7,9,0,1,0,1,4,8,Moses Brown
65,2,1628425,2019-20,0,1610612749,MIL,24.0,15,0,255.0,31,74,0.419,15,40,0.375,10,13,0.769,11,64,75,22,8,2,15,21,87,Sterling Brown
66,0,1629718,2019-20,0,1610612737,ATL,22.0,4,0,16.0,1,3,0.33299999999999996,1,1,1.0,4,4,1.0,2,1,3,0,0,1,0,0,7,Charles Brown Jr.
67,1,1628972,2019-20,0,1610612764,WAS,20.0,13,9,275.0,36,83,0.434,7,23,0.304,9,10,0.9,17,43,60,27,14,1,15,14,88,Troy Brown Jr.
68,1,1628973,2019-20,0,1610612742,DAL,23.0,17,3,295.0,51,108,0.47200000000000003,9,33,0.273,18,27,0.667,10,35,45,50,10,0,18,21,129,Jalen Brunson
69,2,1628418,2019-20,0,1610612764,WAS,22.0,16,16,458.0,96,167,0.575,10,34,0.294,35,45,0.778,38,102,140,42,8,18,22,39,237,Thomas Bryant
70,8,203504,2019-20,0,1610612755,PHI,27.0,6,0,105.0,14,41,0.341,4,10,0.4,6,8,0.75,4,7,11,20,2,1,2,5,38,Trey Burke
71,11,202692,2019-20,0,1610612744,GSW,28.0,16,7,454.0,77,191,0.40299999999999997,23,65,0.354,62,69,0.899,9,66,75,45,13,6,23,35,239,Alec Burks
72,1,1629126,2019-20,0,1610612760,OKC,25.0,9,0,75.0,12,30,0.4,5,16,0.313,2,2,1.0,2,15,17,2,1,0,3,8,31,Deonte Burton
